forecourts.location.latitude,forecourts.location.longitude,forecourts.location.city,forecourts.location.postcode,forecourts.location.county,forecourts.location.country,forecourts.fuel_price.E5,forecourts.fuel_price.E10,forecourts.fuel_price.B7S,forecourts.fuel_price.B7P,forecourts.fuel_price.B10,forecourts.fuel_price.HVO
53.7843,-1.73553,BRADFORD,BD4 7EJ,WEST YORKSHIRE,ENGLAND,179.9,159.9,187.9,209.9,,
53.801773,-1.711157,BRADFORD,BD3 7HZ,WEST YORKSHIRE,ENGLAND,169.9,151.9,182.9,192.9,,
53.82923,-1.70665,Bradford,BD10 0BJ,,,165.9,153.9,185.9,197.9,,
53.7948455,-1.7197129,BRADFORD,BD3 8DX,,ENGLAND,,157.0,183.0,,,
53.82973,-1.71293,BRADFORD,BD10 0QF,,ENGLAND,163.9,151.9,182.9,,,
53.797097,-1.735392,BRADFORD,BD3 9BD,WEST YORKSHIRE,ENGLAND,174.9,153.9,191.9,212.9,,
53.773282,-1.808502,BRADFORD,BD7 4LT,WEST YORKSHIRE,ENGLAND,179.9,155.9,187.9,209.9,,
53.78089,-1.78842,BRADFORD,BD7 4EY,,ENGLAND,159.9,150.9,184.9,,,
53.805015,-1.753098,BRADFORD,BD1 4SP,WEST YORKSHIRE,ENGLAND,179.9,155.9,185.9,209.9,,
53.792071,-1.73214,BRADFORD,BD3 9SB,,,167.9,155.9,185.9,195.9,1.399,
53.79185,-1.82914,BRADFORD,BD13 3DG,,ENGLAND,168.9,153.9,185.9,199.9,,
53.73331,-1.76402,BRADFORD,BD12 9LN,WEST YORKSHIRE,ENGLAND,172.9,153.9,187.9,206.9,,
53.76089,-1.75909,BRADFORD,BD12 0HH,WEST YORKSHIRE,ENGLAND,172.9,153.9,187.9,206.9,,
53.7811763,-1.7698048,BRADFORD,BD5 0PX,,ENGLAND,,150.9,183.9,,,
53.7708724,-1.733838,BRADFORD,BD4 7SR,,ENGLAND,,150.7,183.7,,,
53.77187,-1.73076,BRADFORD,BD4 7SJ,,ENGLAND,175.9,156.9,188.9,207.9,,
53.76521,-1.70316,BRADFORD,BD4 6NL,WEST YORKSHIRE,ENGLAND,,156.9,189.9,,,
53.81573,-1.81765,BRADFORD,BD9 6NT,WEST YORKSHIRE,ENGLAND,172.9,153.9,189.9,208.9,,
53.7941438,-1.7913449,BRADFORD,BD7 2QX,,ENGLAND,,150.7,183.7,,,
53.7935221,-1.7696046,BRADFORD,BD7 1JT,,England,166.9,154.9,185.9,198.9,,
53.7592,-1.79417,BRADFORD,BD6 2DW,,ENGLAND,,150.9,184.9,,,
53.76449,-1.78108,BRADFORD,BD6 1SY,WEST YORKSHIRE,ENGLAND,,155.9,185.9,205.9,,
53.8037355,-1.7617282,BRADFORD,BD8 7DT,,England,169.9,155.9,185.9,195.9,,
53.797831,-1.785753,BRADFORD,BD8 9AN,WEST YORKSHIRE,ENGLAND,169.9,151.9,183.9,,,
53.768581,-1.751111,BRADFORD,BD5 8JR,WEST YORKSHIRE,UNITED KINGDOM,179.9,157.9,188.9,209.9,,
53.770615,-1.7599,BRADFORD,BD5 8HP,WEST YORKSHIRE,ENGLAND,169.9,151.9,183.9,,,
53.761308,-1.683648,BRADFORD,BD4 0SB,WEST YORKSHIRE,ENGLAND,179.9,159.9,187.9,209.9,,
53.8012718,-1.7704724,BRADFORD,BD8 8EA,,England,172.9,149.9,182.9,202.9,,
53.7822006,-1.7574035,BRADFORD,BD5 7JX,,England,169.9,155.9,185.9,195.9,129.9,
